;Amsterdam;Athènes;Berlin;Bratislava;Bruxelles;Dublin;Helsinki;Lisbonne;Ljubljana;Luxembourg;Madrid;Nicosie;Paris;Riga;Rome;Tallinn;Vienne
Amsterdam;NULL;NULL;656;NULL;204;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;0;NULL
Athènes;NULL;NULL;NULL;1680;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;NULL
Berlin;656;NULL;NULL;NULL;764;NULL;NULL;NULL;NULL;762;NULL;NULL;NULL;1213;NULL;NULL;678
Bratislava;NULL;1680;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1342;NULL;NULL;79
Bruxelles;204;NULL;764;NULL;NULL;NULL;NULL;NULL;NULL;215;NULL;NULL;309;NULL;NULL;NULL;NULL
Dublin;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL
Helsinki;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL
Lisbonne;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634;0;NULL;NULL;NULL;NULL;NULL
Ljubljana;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;761;NULL;388
Luxembourg;;NULL;762;NULL;215;NULL;NULL;NULL;NULL;NULL;NULL;NULL;373;NULL;NULL;NULL;NULL
Madrid;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634;NULL;NULL;NULL;0;1268;NULL;1954;NULL;NULL
Nicosie;NULL;0;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
Paris;NULL;NULL;NULL;NULL;309;0;NULL;NULL;NULL;373;1268;NULL;NULL;NULL;1425;NULL;NULL
Riga;0;NULL;1213;1342;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;310;NULL
Rome;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;761;NULL;1954;NULL;1425;NULL;NULL;NULL;NULL
Tallinn;0;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;310;NULL;NULL;NULL
Vienne;NULL;NULL;678;79;NULL;NULL;NULL;NULL;388;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
