;Amsterdam;Athènes;Berlin;Bratislava;Bruxelles;Dublin;Helsinki;Lisbonne;Ljubljana;Luxembourg;Madrid;Nicosie;Paris;Riga;Rome;Tallinn;Vienne
Amsterdam;;2855/2165/-;656/577/-;1203/985/-;204/173/-;-/755/1143;-/1501/1913;2231/1865/2466;1235/989/-;358/296/-;1771/1483/-;-/2949/7022;505/430/-;-/1331/1834;1648/1297/-;-/1458/2145;1145/936/-
Athènes;2855/2165/-;;2335/1804/-;1680/1251/-;2815/2091/-;-/2858/-;;-/2863/-;1621/1177/-;2655/1924/-;-/3245/-;-/916/1446;;3013/2111/-;-/1051/1250;3320/2389/-;1704/1284/-
Berlin;656/577/-;2335/1804/-;;676/553/-;764/651/-;-/1691/-;1625/1106/-;2780/2314/-;975/-/-;762/603/-;-/1871/-;3219/2491/-;1054/878/-;1213/843/-;1504/1183/-;955/1042/-;678/524/-
Bratislava;1203/985/-;1680/1251/-;676/553/-;;1189/968/-;-/1735/-;-/1433/-;2994/2351/-;449/305/-;1029/822/-;2495/1860/-;-/1970/-;1320/1089/-;1342/1085/-;1189/783/-;1662/1351/-;79/55/-
Bruxelles;204/173/-;2815/2091/-;764/651/-;1189/968/-;;-/781/-;2352/1649/-;2038/1714/-;1192/918/-;215/187/-;1578/1318/-;3702/2905/-;309/264/-;1959/1455/-;1485/1174/-;2265/1601/-;1107/915/-
Dublin;-/755/1143;-/2858/-;-/1691/-;-/1735/-;-/781/-;;-/3264/2907;2763/1643/-;-/2121/-;1140/941/-;2303/1452/-;-/3690/5833;-/779/1069;2870/1955/-;2450/1887/-;3177/2005/-;2055/1684/-
Helsinki;-/1501/1913;;1625/1106/-;-/1433/-;2352/1649/-;-/3264/2907;;-/3364/4881;-/1713/-;2353/1653/-;3913/2951/-;4298/2847/-;2647/1910/-;-/361/1300;2877/2203/-;-/82/87;1763/1440/-
Lisbonne;2231/1865/2466;-/2863/-;2780/2314/-;2994/2351/-;2038/1714/-;2763/1643/-;-/3364/4881;;2610/2098/-;2150/1727/-;634/502/-;-/3764/5019;1735/1457/-;3974/3151/-;2511/1870/-;4281/3315/-;2860/2301/-
Ljubljana;1235/989/-;1621/1177/-;975/-/-;449/305/-;1192/918/-;-/2121/-;-/1713/-;2610/2098/-;;938/-/-;2060/1600/-;2509/1993/-;1248/967/-;1737/1380/-;761/490/-;2044/1637/-;388/278/-
Luxembourg;358/296/-;2655/1924/-;762/603/-;1029/822/-;215/187/-;1140/941/-;2353/1653/-;2150/1727/-;938/-/-;;1693/1298/-;3558/2741/-;373/287/-;1973/1426/-;1306/1008/-;2279/1598/-;962/768/-
Madrid;1771/1483/-;-/3245/-;-/1871/-;2495/1860/-;1578/1318/-;2303/1452/-;3913/2951/-;634/502/-;2060/1600/-;1693/1298/-;;-/3285/4522;1268/1052/-;-/2715/-;1954/1363/-;-/2904/-;2396/1811/-
Nicosie;-/2949/7022;-/916/1446;3219/2491/-;-/1970/-;3702/2905/-;-/3690/5833;4298/2847/-;-/3764/5019;2509/1993/-;3558/2741/-;-/3285/4522;;3833/2953/-;-/2524/4335;2774/1959/-;-/2775/8140;2591/2016/-
Paris;505/430/-;;1054/878/-;1320/1089/-;309/264/-;-/779/1069;2647/1910/-;1735/1457/-;1248/967/-;373/287/-;1268/1052/-;3833/2953/-;;2248/1704/-;1425/1105/-;2555/1860/-;1235/1034/-
Riga;-/1331/1834;3013/2111/-;1213/843/-;1342/1085/-;1959/1455/-;2870/1955/-;-/361/1300;3974/3151/-;1737/1380/-;1973/1426/-;-/2715/-;-/2524/4335;2248/1704/-;;-/1868/-;310/280/-;1364/1103/-
Rome;1648/1297/-;-/1051/1250;1504/1183/-;1189/783/-;1485/1174/-;2450/1887/-;2877/2203/-;2511/1870/-;761/490/-;1306/1008/-;1954/1363/-;2774/1959/-;1425/1105/-;-/1868/-;;2782/2126/-;1122/765/-
Tallinn;-/1458/2145;3320/2389/-;955/1042/-;1662/1351/-;2265/1601/-;3177/2005/-;-/82/87;4281/3315/-;2044/1637/-;2279/1598/-;-/2904/-;-/2775/8140;2555/1860/-;310/280/-;2782/2126/-;;1671/1363/-
Vienne;1145/936/-;1704/1284/-;678/524/-;79/55/-;1107/915/-;2055/1684/-;1763/1440/-;2860/2301/-;388/278/-;962/768/-;2396/1811/-;2591/2016/-;1235/1034/-;1364/1103/-;1122/765/-;1671/1363/-;
